PhiloteId,Comment
3c4d5e6f-7a8b-9c0d-1e2f-3a4b5c6d7e8f,ATAP.Utilities Repository Absolute Path Rule
6a1f4e0d-3b2c-4d5e-8f90-1a2b3c4d5e6f,ATAP.Utilities.Secrets.csproj Absolute Path Rule
2159a341-8a9f-40a3-ae0a-e41e40c9523f,ATAP.Utilities Path Node - ATAP.Utilities
9a076a35-3b77-464f-ab8c-dd5792c4f407,ATAP.Utilities Path Node - ATAP.Utilities\src
70b816a0-ca8a-4bb2-ae5b-8e3288f9a0ab,ATAP.Utilities Path Node - ATAP.Utilities\src\ATAP.Utilities.PowerShell
6cefb781-c916-428a-a653-5b7cf3098c2f,ATAP.Utilities Path Node - ATAP.Utilities\src\ATAP.Utilities.PowerShell\public
1fc23f7e-e18e-4004-a93e-246fde7073e9,ATAP.Utilities Path Node - ATAP.Utilities\src\ATAP.Utilities.PowerShell\public\Write-ArrayIndented.ps1
